case_id,pd,segment,segment_default_rate,top_risk_drivers,ai_decision,policy_status,ai_reason,next_step,decision_source,timestamp,model_version,graph_version
1452671,0.5319000577031292,Review/Reject,0.3418,"['int_rate', 'dti', 'acc_open_past_24mths', 'term', 'home_ownership_RENT']",Reject,Very High Risk,"The PD of 53.19% falls into the 'Very High Risk' category as it is greater than 30%. According to the bank policy, this level of PD indicates a significant risk, and the decision hierarchy suggests that such cases should be rejected unless there are compelling reasons to approve them, which are not present in this case.",Reject the loan application based on the very high risk associated with the PD.,llm,2026-01-16T05:23:46.042506,gpt-4o-mini, 1.0.1
1452671,0.5319000577031292,Review/Reject,0.3418,"['int_rate', 'dti', 'acc_open_past_24mths', 'term', 'home_ownership_RENT']",Manual Review,PD is below 30% and below the segment default rate,"The PD is 26.82%, which is below the 30% threshold, and it is also below the segment default rate of 16.17%. However, the presence of other risk factors (top risk drivers) necessitates a more thorough evaluation.",Conduct a manual review to assess the impact of the top risk drivers on the overall credit risk.,llm,2026-01-16T05:23:49.603085,gpt-4o-mini, 1.0.1
1452671,0.5319000577031292,Review/Reject,0.3418,"['int_rate', 'dti', 'acc_open_past_24mths', 'term', 'home_ownership_RENT']",Approved with Caution,Manual Review,"The PD is below 30% but above the segment default rate, and there are other risk factors present. This aligns with the decision logic for 'Approved with Caution'.",Proceed with caution and monitor the loan closely.,llm,2026-01-16T05:23:51.731782,gpt-4o-mini, 1.0.1
1452671,0.5319000577031292,Review/Reject,0.3418,"['int_rate', 'dti', 'acc_open_past_24mths', 'term', 'home_ownership_RENT']",Approved with Caution,Validated,"The PD of 9.96% is below 30% but above the segment default rate of 16.17%. Additionally, there are other risk factors present, which necessitates caution in the approval.",Proceed with caution and monitor the loan closely.,llm,2026-01-16T05:23:53.542929,gpt-4o-mini, 1.0.1
1452671,0.5319000577031292,Review/Reject,0.3418,"['int_rate', 'dti', 'acc_open_past_24mths', 'term', 'home_ownership_RENT']",Manual Review,PD â‰¥ 30%,"The PD is 36.62%, which is above the 30% threshold, indicating a higher credit risk. However, the decision requires further evaluation due to the presence of other risk factors and the segment default rate being close to the PD.",Conduct a manual review to assess the overall credit risk and determine the appropriate action.,llm,2026-01-16T05:23:57.191657,gpt-4o-mini, 1.0.1
1452671,0.5319000577031292,Review/Reject,0.3418,"['int_rate', 'dti', 'acc_open_past_24mths', 'term', 'home_ownership_RENT']",Manual Review,"PD is below 30% and below the segment default rate, but other risk factors are present.","The PD is 22.95%, which is below the 30% threshold, and it is also below the segment default rate of 16.17%. However, the presence of other risk factors necessitates a more thorough evaluation.",Conduct a manual review to assess the overall credit risk.,llm,2026-01-16T05:23:59.847346,gpt-4o-mini, 1.0.1
1452671,0.5319000577031292,Review/Reject,0.3418,"['int_rate', 'dti', 'acc_open_past_24mths', 'term', 'home_ownership_RENT']",Manual Review,"PD is below 30% and below the segment default rate, but other risk factors are present.","The PD is 8.35%, which is below the 30% threshold, and it is also below the segment default rate of 16.17%. However, there are other risk drivers present that may affect the overall risk assessment. Therefore, a manual review is warranted to evaluate these factors more closely.",Conduct a manual review to assess the additional risk factors and make a final decision.,llm,2026-01-16T05:24:02.747251,gpt-4o-mini, 1.0.1
1452671,0.5319000577031292,Review/Reject,0.3418,"['int_rate', 'dti', 'acc_open_past_24mths', 'term', 'home_ownership_RENT']",Manual Review,PD is below 30% and segment default rate is above 16.17%,"The PD is 23.04%, which is below the 30% threshold, and the segment default rate is 16.17%. However, there are other risk factors present, including top risk drivers related to loan-to-income and delinquency history. This case is borderline and requires human judgment to assess the overall risk.",Submit for human review to evaluate the additional risk factors.,llm,2026-01-16T05:24:05.730770,gpt-4o-mini, 1.0.1
1452671,0.5319000577031292,Review/Reject,0.3418,"['int_rate', 'dti', 'acc_open_past_24mths', 'term', 'home_ownership_RENT']",Manual Review,"PD is below 30% and below the segment default rate, but other risk factors are present.","The PD is 14.42%, which is below the 30% threshold, and it is also below the segment default rate of 16.17%. However, there are other risk factors indicated, such as high interest rates and joint application type, which necessitate a more thorough evaluation.",Conduct a manual review to assess the overall risk and make a final decision.,llm,2026-01-16T05:24:09.076959,gpt-4o-mini, 1.0.1
1452671,0.5319000577031292,Review/Reject,0.3418,"['int_rate', 'dti', 'acc_open_past_24mths', 'term', 'home_ownership_RENT']",Reject,Very High Risk,"The PD of 39.75% falls into the 'Very High Risk' category as it is greater than or equal to 30%. According to the bank policy, this level of PD necessitates a rejection unless there are overriding factors, which are not present in this case.",Reject the loan application based on the very high risk assessment.,llm,2026-01-16T05:24:12.308042,gpt-4o-mini, 1.0.1
